time,obj_id,x,y,collision
0.016,0,0.032,4.8432,0
0.016,1,0,-0.6568,0
0.032,0,0.064,4.5296,0
0.032,1,0,-0.9704,0
0.048,0,0.096,4.0592,0
0.048,1,0,-1.4408,0
0.064,0,0.128,3.432,0
0.064,1,0,-2.068,0
0.08,0,0.16,2.648,0
0.08,1,0,-2.852,0
0.096,0,0.192,1.7072,0
0.096,1,0,-3.7928,0
0.112,0,0.224,0.6096,0
0.112,1,0,-4.8904,0
0.128,0,0.256,-0.6448,0
0.128,1,0,-6.1448,0
0.144,0,0.288,-2.056,0
0.144,1,0,-7.556,0
0.16,0,0.32,-3.624,0
0.16,1,0,-9.124,0
0.176,0,0.352,-5.3488,0
0.176,1,0,-10.8488,0
0.192,0,0.384,-7.2304,0
0.192,1,0,-12.7304,0
0.208,0,0.416,-9.2688,0
0.208,1,0,-14.7688,0
0.224,0,0.448,-11.464,0
0.224,1,0,-16.964,0
0.24,0,0.48,-13.816,0
0.24,1,0,-19.316,0
0.256,0,0.512,-16.3248,0
0.256,1,0,-21.8248,0
0.272,0,0.544,-18.9904,0
0.272,1,0,-24.4904,0
0.288,0,0.576,-21.8128,0
0.288,1,0,-27.3128,0
0.304,0,0.608,-24.792,0
0.304,1,0,-30.292,0
0.32,0,0.64,-27.928,0
0.32,1,0,-33.428,0
0.336,0,0.672,-31.2208,0
0.336,1,0,-36.7208,0
0.352,0,0.704,-34.6704,0
0.352,1,0,-40.1704,0
0.368,0,0.736,-38.2768,0
0.368,1,0,-43.7768,0
0.384,0,0.768,-42.04,0
0.384,1,0,-47.54,0
0.4,0,0.8,-45.96,0
0.4,1,0,-51.46,0
0.416,0,0.832,-50.0368,0
0.416,1,0,-55.5368,0
0.432,0,0.864,-54.2704,0
0.432,1,0,-59.7704,0
0.448,0,0.896,-58.6608,0
0.448,1,0,-64.1608,0
0.464,0,0.928,-63.208,0
0.464,1,0,-68.708,0
0.48,0,0.96,-67.912,0
0.48,1,0,-73.412,0
0.496,0,0.992,-72.7728,0
0.496,1,0,-78.2728,0
0.512,0,1.024,-77.7904,0
0.512,1,0,-83.2904,0
0.528,0,1.056,-82.9648,0
0.528,1,0,-88.4648,0
0.544,0,1.088,-88.296,0
0.544,1,0,-93.796,0
0.56,0,1.12,-93.784,0
0.56,1,0,-99.284,0
0.576,0,1.152,-99.4288,0
0.576,1,0,-104.929,0
0.592,0,1.184,-105.23,0
0.592,1,0,-110.73,0
0.608,0,1.216,-111.189,0
0.608,1,0,-116.689,0
0.624,0,1.248,-117.304,0
0.624,1,0,-122.804,0
0.64,0,1.28,-123.576,0
0.64,1,0,-129.076,0
0.656,0,1.312,-130.005,0
0.656,1,0,-135.505,0
0.672,0,1.344,-136.59,0
0.672,1,0,-142.09,0
0.688,0,1.376,-143.333,0
0.688,1,0,-148.833,0
0.704,0,1.408,-150.232,0
0.704,1,0,-155.732,0
0.72,0,1.44,-157.288,0
0.72,1,0,-162.788,0
0.736,0,1.472,-164.501,0
0.736,1,0,-170.001,0
0.752,0,1.504,-171.87,0
0.752,1,0,-177.37,0
0.768,0,1.536,-179.397,0
0.768,1,0,-184.897,0
0.784,0,1.568,-187.08,0
0.784,1,0,-192.58,0
0.8,0,1.6,-194.92,0
0.8,1,0,-200.42,0
0.816,0,1.632,-202.917,0
0.816,1,0,-208.417,0
0.831999,0,1.664,-211.07,0
0.831999,1,0,-216.57,0
0.847999,0,1.696,-219.381,0
0.847999,1,0,-224.881,0
0.863999,0,1.728,-227.848,0
0.863999,1,0,-233.348,0
0.879999,0,1.76,-236.472,0
0.879999,1,0,-241.972,0
0.895999,0,1.792,-245.253,0
0.895999,1,0,-250.753,0
0.911999,0,1.824,-254.19,0
0.911999,1,0,-259.69,0
0.927999,0,1.856,-263.285,0
0.927999,1,0,-268.785,0
0.943999,0,1.888,-272.536,0
0.943999,1,0,-278.036,0
0.959999,0,1.92,-281.944,0
0.959999,1,0,-287.444,0
0.975999,0,1.952,-291.509,0
0.975999,1,0,-297.009,0
0.991999,0,1.984,-301.23,0
0.991999,1,0,-306.73,0
1.008,0,2.016,-311.109,0
1.008,1,0,-316.609,0
1.024,0,2.048,-321.144,0
1.024,1,0,-326.644,0
1.04,0,2.08,-331.336,0
1.04,1,0,-336.836,0
1.056,0,2.112,-341.685,0
1.056,1,0,-347.185,0
1.072,0,2.144,-352.19,0
1.072,1,0,-357.69,0
1.088,0,2.176,-362.853,0
1.088,1,0,-368.353,0
1.104,0,2.208,-373.672,0
1.104,1,0,-379.172,0
1.12,0,2.24,-384.648,0
1.12,1,0,-390.148,0
1.136,0,2.272,-395.781,0
1.136,1,0,-401.281,0
1.152,0,2.304,-407.07,0
1.152,1,0,-412.57,0
1.168,0,2.336,-418.517,0
1.168,1,0,-424.017,0
1.184,0,2.368,-430.12,0
1.184,1,0,-435.62,0
1.2,0,2.4,-441.88,0
1.2,1,0,-447.38,0
1.216,0,2.432,-453.796,0
1.216,1,0,-459.296,0
1.232,0,2.464,-465.87,0
1.232,1,0,-471.37,0
1.248,0,2.496,-478.1,0
1.248,1,0,-483.6,0
1.264,0,2.528,-490.488,0
1.264,1,0,-495.988,0
1.28,0,2.56,-503.032,0
1.28,1,0,-508.532,0
1.296,0,2.592,-515.732,0
1.296,1,0,-521.232,0
1.312,0,2.624,-528.59,0
1.312,1,0,-534.09,0
1.328,0,2.656,-541.604,0
1.328,1,0,-547.104,0
1.344,0,2.688,-554.776,0
1.344,1,0,-560.276,0
1.36,0,2.72,-568.104,0
1.36,1,0,-573.604,0
1.376,0,2.752,-581.588,0
1.376,1,0,-587.088,0
1.392,0,2.784,-595.23,0
1.392,1,0,-600.73,0
1.408,0,2.816,-609.028,0
1.408,1,0,-614.528,0
1.424,0,2.848,-622.984,0
1.424,1,0,-628.484,0
1.44,0,2.88,-637.096,0
1.44,1,0,-642.596,0
1.456,0,2.912,-651.364,0
1.456,1,0,-656.864,0
1.472,0,2.944,-665.79,0
1.472,1,0,-671.29,0
1.488,0,2.976,-680.372,0
1.488,1,0,-685.872,0
1.504,0,3.008,-695.112,0
1.504,1,0,-700.612,0
1.52,0,3.04,-710.008,0
1.52,1,0,-715.508,0
1.536,0,3.072,-725.06,0
1.536,1,0,-730.56,0
1.552,0,3.104,-740.27,0
1.552,1,0,-745.77,0
1.568,0,3.136,-755.636,0
1.568,1,0,-761.136,0
1.584,0,3.168,-771.16,0
1.584,1,0,-776.66,0
1.6,0,3.2,-786.84,0
1.6,1,0,-792.34,0
1.616,0,3.232,-802.676,0
1.616,1,0,-808.176,0
1.632,0,3.264,-818.67,0
1.632,1,0,-824.17,0
1.648,0,3.296,-834.82,0
1.648,1,0,-840.32,0
1.664,0,3.328,-851.128,0
1.664,1,0,-856.628,0
1.68,0,3.36,-867.591,0
1.68,1,0,-873.092,0
1.696,0,3.392,-884.212,0
1.696,1,0,-889.712,0
1.712,0,3.424,-900.99,0
1.712,1,0,-906.49,0
1.728,0,3.456,-917.924,0
1.728,1,0,-923.424,0
1.744,0,3.488,-935.015,0
1.744,1,0,-940.516,0
1.76,0,3.52,-952.263,0
1.76,1,0,-957.763,0
1.776,0,3.552,-969.668,0
1.776,1,0,-975.168,0
1.792,0,3.584,-987.23,0
1.792,1,0,-992.73,0
1.808,0,3.616,-1004.95,0
1.808,1,0,-1010.45,0
1.824,0,3.648,-1022.82,0
1.824,1,0,-1028.32,0
1.84,0,3.68,-1040.86,0
1.84,1,0,-1046.36,0
1.856,0,3.712,-1059.04,0
1.856,1,0,-1064.54,0
1.872,0,3.744,-1077.39,0
1.872,1,0,-1082.89,0
1.888,0,3.776,-1095.89,0
1.888,1,0,-1101.39,0
1.904,0,3.808,-1114.55,0
1.904,1,0,-1120.05,0
1.92,0,3.84,-1133.37,0
1.92,1,0,-1138.87,0
1.936,0,3.872,-1152.34,0
1.936,1,0,-1157.84,0
1.952,0,3.904,-1171.47,0
1.952,1,0,-1176.97,0
1.968,0,3.936,-1190.76,0
1.968,1,0,-1196.26,0
1.984,0,3.968,-1210.2,0
1.984,1,0,-1215.7,0
2,0,4,-1229.8,0
2,1,0,-1235.3,0
2.016,0,4.032,-1249.56,0
2.016,1,0,-1255.06,0
2.032,0,4.064,-1269.47,0
2.032,1,0,-1274.97,0
2.048,0,4.096,-1289.54,0
2.048,1,0,-1295.04,0
